member_type,month,ride_count
casual,2025-06,172216
casual,2025-05,112548
casual,2025-04,69141
casual,2025-03,55481
casual,2025-02,18428
casual,2025-01,15995
casual,2024-12,26078
casual,2024-11,64021
casual,2024-10,145556
casual,2024-09,195476
casual,2024-08,204416
casual,2024-07,206432
casual,2024-06,64
member,2025-06,244095
member,2025-05,207386
member,2025-04,175459
member,2025-03,142817
member,2025-02,87013
member,2025-01,81475
member,2024-12,99145
member,2024-11,171577
member,2024-10,280424
member,2024-09,309642
member,2024-08,301184
member,2024-07,298289
member,2024-06,36
