bearing3_ch5_rms,bearing3_ch5_kurtosis,bearing3_ch5_crest_factor,bearing3_ch5_spectral_entropy,bearing3_ch5_dominant_frequency,timestamp
-1.4048715272458856,-0.29408887361333486,-0.7495607044960243,-3.045741029947914,-0.08463009607802559,2003.10.22.15.44.13
-1.3879418496952365,-0.27784392589639656,-0.14375020382612366,-4.067254876089333,-0.08463009607802559,2003.10.22.15.54.13
-1.4737942210344797,-0.2798106359285154,-0.5487040810445806,-2.0157955069963474,-0.08463009607802559,2003.10.22.16.04.13
-1.4779157966987586,-0.2960204631100072,-0.2604736424157458,-3.4253138774427163,-0.08463009607802559,2003.10.22.16.14.13
-1.4134504938862773,-0.2857622843623487,-0.42046018799623863,-3.459450625815612,-0.08463009607802559,2003.10.22.16.24.13
-1.5036666169967585,-0.31498682291465435,-0.7194598651874926,-2.759908117044044,-0.08463009607802559,2003.10.22.16.34.13
-1.5097991695429671,-0.2959644632528919,-0.27728592576007677,-3.440790402277462,-0.08463009607802559,2003.10.22.16.44.13
-1.4539551957256813,-0.29729749339845907,-0.5916226440886567,-3.589673953397703,-0.08463009607802559,2003.10.22.16.54.13
-1.4624302159736766,-0.3035971314853519,-0.5257559662174913,-3.8913421934217176,-0.08463009607802559,2003.10.22.17.04.13
-1.486170591246622,-0.2886620978624289,-0.602327066286251,-3.2349651227036818,-0.08463009607802559,2003.10.22.17.14.13
-1.51388221588564,-0.2675032545368037,0.12120036166524546,-3.2979616219737102,-0.08463009607802559,2003.10.22.17.19.38
-1.4800172281651338,-0.30431114563754974,-0.6986394336160708,-3.615076850086989,-0.08463009607802559,2003.10.22.17.24.13
-1.4755213477206819,-0.26253397480420715,-0.43036231176940926,-3.491442365383223,-0.08463009607802559,2003.10.22.17.34.13
-1.4590968037857652,-0.3023259329424366,-0.6518352342486721,-3.3211811603266472,-0.08463009607802559,2003.10.22.17.44.13
-1.4656422863211835,-0.32180826184478245,-0.7272197695375812,-3.1094967199773467,-0.08463009607802559,2003.10.22.17.54.13
-1.4783652574396102,-0.22372335499552265,-0.1295268190827402,-3.311191320015095,-0.08463009607802559,2003.10.22.18.04.13
-1.5080782245794353,-0.3007944078695956,-0.7675296845953691,-3.6942072100747922,-0.08463009607802559,2003.10.22.18.14.13
-1.4866467698177976,-0.27640890775946997,-0.6844160261946466,-2.6962575170711016,-0.08463009607802559,2003.10.22.18.24.13
-1.44827818192973,-0.27000857495067354,-0.5188742832901861,-3.4557073256276767,-0.08463009607802559,2003.10.22.18.34.13
-1.449525977440458,-0.3031689386172428,-0.3296562453167088,-3.643379520720215,-0.08463009607802559,2003.10.22.18.44.13
-1.4700221559457611,-0.28703904107022826,-0.46248560126290705,-3.1273204245373525,-0.08463009607802559,2003.10.22.18.54.13
-1.457299453969202,-0.30997239865963855,-0.4732828228050452,-2.8289325005305566,-0.08463009607802559,2003.10.22.19.04.13
-1.4797076217541294,-0.301053379478816,-0.6602185676322431,-2.627657881925996,-0.08463009607802559,2003.10.22.19.14.13
-1.4510021047284591,-0.31723480897890066,-0.6969845377666101,-2.8837770136692824,-0.08463009607802559,2003.10.22.19.24.13
-1.3997883976841945,-0.29180057386539193,-0.5606314906075832,-3.1227136706366845,-0.08463009607802559,2003.10.22.19.34.13
-1.4955046353297916,-0.31364508412785347,-0.5384958463878049,-2.2730370588506363,-0.08463009607802559,2003.10.22.19.44.13
-1.4539972079100225,-0.2999916186996346,-0.5226313406979107,-2.9087492960555683,-0.08228705297045535,2003.10.22.19.54.13
-1.3923608796041675,-0.26897201028581447,-0.17785777543050782,-2.672969899366983,-0.08463009607802559,2003.10.22.20.04.13
-1.4241427228413466,-0.26405099146138383,-0.4431966071854509,-3.0799550625087586,-0.08463009607802559,2003.10.22.20.14.13
-1.4556017146729583,-0.29209601238235716,-0.7292526941025076,-2.288958765543842,-0.08463009607802559,2003.10.22.20.24.13
-1.4323047816973058,-0.29772669994876627,-0.5659183925352848,-2.9967887401615956,-0.08463009607802559,2003.10.22.20.34.13
-1.4801804941767651,-0.30445103955030683,-0.6601172282744877,-2.6784882443606506,-0.08463009607802559,2003.10.22.20.44.13
-1.4530820796162236,-0.30330976537068033,-0.7042167859825337,-2.8455182304140156,-0.08463009607802559,2003.10.22.20.54.13
-1.4339201704729716,-0.2903563565612021,-0.6088406905645075,-3.6616259363999477,-0.08463009607802559,2003.10.22.21.04.13
-1.433192326013916,-0.3187432411469411,-0.6904803332190725,-2.577644293361677,-0.08463009607802559,2003.10.22.21.14.13
-1.4812627782143062,-0.31426130552922654,-0.759972484524554,-2.516267980867695,-0.08228705297045535,2003.10.22.21.24.13
-1.397693279159322,-0.2966217672308946,-0.5180720111818456,-3.382692729580403,-0.08228705297045535,2003.10.22.21.34.13
-1.4073790818976695,-0.30556413143428,-0.6324316072313149,-2.316215491050855,-0.08228705297045535,2003.10.22.21.44.13
-1.4690820782361993,-0.30137660312118647,-0.6010225120773635,-2.3976362682096304,-0.08228705297045535,2003.10.22.21.54.13
-1.4357897824021395,-0.2819651923262158,-0.29001590964727747,-3.409547631609714,-0.08463009607802559,2003.10.22.22.04.13
-1.4660424131921947,-0.30681075958750054,-0.6503406494278756,-2.6658549629359323,-0.08697313918559584,2003.10.22.22.14.13
-1.4652547727647387,-0.29835300822795574,-0.2768084859471102,-2.731088900904642,-0.08463009607802559,2003.10.22.22.24.13
-1.4281730360204754,-0.25311126043924065,-0.47272714371395913,-2.134017348247377,-0.08228705297045535,2003.10.22.22.34.13
-1.409323501347822,-0.2889458297100315,-0.545775592972603,-2.9606180161308204,-0.08228705297045535,2003.10.22.22.44.13
-1.4559998150489593,-0.27168772710731837,-0.18480345538258286,-2.630743218022384,-0.08463009607802559,2003.10.22.22.54.13
-1.519391801331593,-0.28636519620968953,-0.6077557548152374,-2.8406153410632236,-0.08463009607802559,2003.10.22.23.04.13
-1.470428734813435,-0.29537460893820955,-0.4367676552680655,-4.543582905847491,-0.08463009607802559,2003.10.22.23.14.13
-1.4829571570610949,-0.27965644574106735,-0.5029314885222432,-2.638797417807021,-0.08228705297045535,2003.10.22.23.24.13
-1.443021581128864,-0.3013659909322478,-0.6680328590534994,-2.922714144460154,-0.08463009607802559,2003.10.22.23.34.13
-1.4422953764906705,-0.2704237792186861,-0.49478669309452183,-2.898207098492062,-0.08228705297045535,2003.10.22.23.44.13
-1.3859665856920067,-0.29457906296932135,-0.6623141805475473,-3.2128677205009906,-0.08463009607802559,2003.10.22.23.54.13
-1.3972391907352386,-0.31182842033457236,-0.6523406444026176,-4.543987051575656,-0.08463009607802559,2003.10.23.00.04.13
